id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
3916,0df2c9db-645d-4044-810e-4ebc7fbaffc3,2009-12-17,2009-12-17,,Central Time (US & Canada),325,gurushant,,2009-12-18 12:01:54 UTC,2017-02-17 20:45:10 UTC,casual,,http://www.inaturalist.org/observations/3916,,,,j,0,0,false,,"aundh, pune",18.5584316254,73.8213195801,,,,,,,,false,,,,Pune,Maharashtra,India,Maharashtra,Pune,lantana,Lantana camara,common lantana,Plantae,50333
29967,76a92184-1661-4c83-84c2-ef7c7b4c11a6,"August 21, 2011 11:13",2011-08-21,2011-08-21 05:43:00 UTC,Mumbai,1,kueda,Ken-ichi Ueda,2011-09-04 07:50:56 UTC,2020-01-15 22:53:53 UTC,research,CC0,http://www.inaturalist.org/observations/29967,https://inaturalist-open-data.s3.amazonaws.com/photos/52356/medium.jpg,,,Interesting South American plant that curls its leaves up when you touch them.  Growing everywhere in disturbed areas of Wayanad.,1,0,false,,"Chembra Peak, Wyanad, Kerala, India",11.555002,76.0891,,,,,31137,,open,false,,,,Wayanad,Kerala,India,Kerala,Wayanad,Sensitive Plant,Mimosa pudica,Sensitive Plant,Plantae,51921
80264,b99cb8ce-0a51-4907-be51-26f8e4ed6693,2012-05-10,2012-05-10,,Hawaii,6489,unnikrishnanpk,UNNI KRISHNAN.P.K. Edakkoly,2012-05-18 08:19:45 UTC,2023-01-26 01:42:38 UTC,research,CC-BY,http://www.inaturalist.org/observations/80264,https://static.inaturalist.org/photos/118290/medium.jpg,,,"The plant is a climber.It has yellow fruits,the size  of coffee beans.",2,0,false,,"Vagamon, Kottayam, Kerala, India",9.6921998315,76.8909072876,,,,,,,open,false,,,,Idukki,Kerala,India,Kerala,Idukki,skyflower,Duranta erecta,skyflower,Plantae,162153
117506,0a8a066c-fcdd-4b37-95df-3fd0a10c89b8,2012-08-01,2012-08-01,,Mumbai,8826,chiefredearth,Chief RedEarth,2012-08-29 08:01:17 UTC,2020-01-15 22:56:57 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/117506,https://static.inaturalist.org/photos/167943/medium.JPG,,,,3,0,false,,vazhayila thiruvananthapuram,8.5465192,76.9743873,546,,,,546,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,castor bean,Ricinus communis,castor bean,Plantae,56739
121838,33bacb1e-46e2-4f6d-877a-18be6a905053,2012-09-10,2012-09-10,,Mumbai,8826,chiefredearth,Chief RedEarth,2012-09-12 15:54:24 UTC,2018-04-02 05:26:48 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/121838,https://static.inaturalist.org/photos/173857/medium.JPG,,,,2,0,false,,vazhayila thiruvananthapuram,8.5465192,76.9743873,546,,,,546,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,water lettuce,Pistia stratiotes,water lettuce,Plantae,78589
124077,0fd81572-36c3-4b08-8978-fc29db25afb5,"September 15, 2012 07:54",2012-09-15,2012-09-15 02:24:00 UTC,Kolkata,8853,ivijayanand,Vijay Anand Ismavel,2012-09-17 12:43:49 UTC,2020-01-15 22:58:53 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/124077,https://inaturalist-open-data.s3.amazonaws.com/photos/176304/medium.jpg,,"Mimosa pudica, Touch-me-not, Makunda Flowers","Touch-me-not

Location: Makunda Christian Hospital campus, Karimganj District, Assam

Date: 16th September 2012

Equipment: Nikon D300s with Nikkor AF 28-105mm lens",1,0,false,,"Makunda Christian Hospital, Karimganj District, Assam",24.4320197,92.3306894,15808,,,,15808,,,false,,,,Karimganj,Assam,India,Assam,Karimganj,Mimosa pudica,Mimosa pudica,Sensitive Plant,Plantae,51921
141612,0ab68048-bbfa-4515-ad92-d0765d307590,2012-10-12,2012-10-12,,Mumbai,8826,chiefredearth,Chief RedEarth,2012-10-31 15:45:48 UTC,2020-03-08 20:05:10 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/141612,https://static.inaturalist.org/photos/196185/medium.JPG,,,,1,0,false,,vazhayila thiruvananthapuram,8.5465192,76.9743873,546,,,,546,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,Mimosa diplotricha,Mimosa diplotricha,giant false sensitive plant,Plantae,126584
143154,8d334438-80f2-43e3-b68d-a7508097e053,2012-10-21,2012-10-21,,Mumbai,8826,chiefredearth,Chief RedEarth,2012-11-03 14:44:33 UTC,2020-01-15 23:02:52 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/143154,https://static.inaturalist.org/photos/198056/medium.jpg,,,,1,0,false,,Marthandam,8.3039099,77.2232709,2025,,,,2025,,,false,,,,Kanniyakumari,Tamil Nadu,India,Tamil Nadu,Kanniyakumari,skyflower,Duranta erecta,skyflower,Plantae,162153
143228,ae2b5fd0-d8d2-4981-8b77-ab8fdf9d1e4b,2012-10-27,2012-10-27,,Mumbai,8826,chiefredearth,Chief RedEarth,2012-11-03 17:34:41 UTC,2023-01-21 15:42:18 UTC,needs_id,CC-BY-NC-ND,http://www.inaturalist.org/observations/143228,https://static.inaturalist.org/photos/198178/medium.JPG,,,,1,0,false,,thiruvananthapuram,8.4874949,76.948623,17792,,,,17792,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,Catclaw vine,Dolichandra unguis-cati,Catclaw vine,Plantae,584095
143246,5623f5ab-f859-42e4-a6f3-65de2575e5c3,2012-10-27,2012-10-27,,Mumbai,8826,chiefredearth,Chief RedEarth,2012-11-03 18:18:01 UTC,2017-04-04 09:25:05 UTC,casual,CC-BY-NC-ND,http://www.inaturalist.org/observations/143246,https://static.inaturalist.org/photos/198199/medium.JPG,,,,2,1,true,,thiruvananthapuram,8.4874949,76.948623,17792,,,,17792,,,false,,,,Thiruvananthapuram,Kerala,India,Kerala,Thiruvananthapuram,Surinam Cherry,Eugenia uniflora,Surinam cherry,Plantae,83642
